ItemNumber,DescLine1,DescLine2,PackSize,Brand,UPC,VIN,Symbol,Price,PerUnit,ComparativePrice,ComparativeUnits,VenderID
234639,STRAIGHT FRIES,"1/4""X5/16"" SKIN ON",6 / 5.0 LB,CONQUEST,10071179474005,"",B,$44.04,UNIT,1.468,PER LB,90007
194721,BREADED SHRIMP,21-25,10 / 3.0 LB,CHANNEL MA,10884724500797,"",C,$262.2,UNIT,8.74,PER LB,2158
113852,SAUSAGE PORK LINK,SKNLS F/C,160 / 1.0 OZ,JONES DAIR,"","",C,$31.22,UNIT,0.195125,PER OZ,2107
194042,WHITE SHRIMP,31-35 HLSO SA,10 / 4.0 LB,PACKER,194042,"",C,$211.6,UNIT,5.29,PER LB,2161
194106,BLACK TIGER SHRIMP,16-20 HLSO BF BT,6 / 4.0 LB,APAC,10070041700181,"",C,$204.24,UNIT,8.51,PER LB,2161
194732,BLACK TIGER SHRIMP,21-25 PDTO IQF BT,5 / 2.0 LB,MAXFIELD,8994439160287,"",C,$81.7,UNIT,8.17,PER LB,2508
3194732,BLACK TIGER SHRIMP,21-25 PDTO IQF BT,1 / 2.0 LB,OCEAN HORI,8994439997937,"","",$17.8,UNIT,8.9,PER LB,2508
3194106,BLACK TIGER SHRIMP,16-20 HLSO BF BT,1 / 4.0 LB,PACKER,8991990161715,"","",$37.08,UNIT,9.27,PER LB,2161
194302,CRAWFISH TAIL MEAT,80-100 CKD,24 / 1.0 LB,PACKER,"","",&,$211.92000000000002,UNIT,8.83,PER LB,5653
199019,KING CRAB,LEGS & CLAWS,1 / 20.0 LB,ALASKAN,199019,"",C,$291.8,UNIT,14.59,PER LB,5448
3194302,CRAWFISH TAIL MEAT,80-100 CKD,1 / 1.0 LB,PACKER,40902338917,"","",$8.39,UNIT,8.39,,5653
194376,TAIL N LOBSTER,ATL 6/7 OZ,1 / 10.0 LB,PACKER,194376,"",C,$181.20000000000002,UNIT,18.12,PER LB,3447
83117,STRAWBERRIES,SLICES,6 / 6.5 LB,SIMPLOT,10071179199281,"",B,$71.9,UNIT,1.8435897435897437,PER LB,90007
3083117,STRAWBERRIES,SLICES,1 / 6.5 LB,SIMPLOT,071179199284,"","",$14.58,UNIT,2.243076923076923,PER LB,90007
83103,STRAWBERRIES,WHOLE IQF,1 / 30.0 LB,SIMPLOT,10071179199298,"",A,$53.22,UNIT,1.774,PER LB,90007
3083114,PEACH SLICES,IQF,1 / 5.0 LB,CLASSIC,071179179132,"","",$14.46,UNIT,2.8920000000000003,PER LB,90007
3053560,PUMPKIN BUNDT CAKE,W/SPICED CREAM,1 / 2.98 LB,SWEET STRE,749017025353,549159,"",$22.5,UNIT,7.550335570469799,PER LB,4258
114061,PORK TENDERLOIN,"",6 / 2.0 CT,FARMER JOH,"","",&,$2.86,PER CT,,,20572
113505,PORK LINK SAUSAGE,SKIN-ON,96 / 1.0 OZ,HORMEL,037600097236,"",C,$18.06,UNIT,3.01,PER OZ,2681
113725,HONEY CURED BACON,13-17,1 / 15.0 LB,HORMEL,10037600425275,"",B,$51.9,UNIT,3.46,PER LB,2681
113520,PORK BELLY,8-10# DANISH,4 / 11.25 ,PACKER,"","",C,$2.31,PER ,,,3603
3113520,PORK BELLY,8-10# DANISH,1 / 11.25 ,PACKER,"","","",$2.55,PER ,,,3603
113690,PORK LOINS (BNLS),CC S/OFF,2 / 8.0 LB,HORMEL,037600199004,"",C,$2.73,PER LB,,,2681
3113690,PORK LOINS (BNLS),CC S/OFF,1 / 8.0 LB,HORMEL,"","","",$2.87,PER LB,,,2681
112993,STRIPLOIN BEEF STEAK,V/E CHOICE,24 / 8.0 OZ,K&M,"","",A,$7.92,PER OZ,,,2786
112554,AU JUS BEEF PATTY,HOMESTYLE SEASONED,30 / 5.3 OZ,TNT BURGER,74624030934,"",A,$34.087340000000005,UNIT,3.43,PER OZ,3075
112888,BEEF PATTY,80/20 STACK,30 / 8.0 OZ,STERLING P,112888,"",C,$60.6,UNIT,4.04,PER OZ,2081
112563,SEASONED BEEF PATTY,5 TO 1,1 / 10.0 LB,EXCEL,112563,"",P,$35.4,UNIT,3.54,PER LB,3075
234606,HASHBROWN POTATO,IQF SHREDDED,6 / 3.0 LB,CLASSIC,10071179364580,"",A,$26.74,UNIT,1.4855555555555555,PER LB,90007
234682,SHOESTRING FRIES,"1/4"" XLF",6 / 4.5 LB,CLASSIC,10071179461302,"",A,$36.33,UNIT,1.3455555555555554,PER LB,90007
234521,HASHBROWN CUBES,"1/2""",4 / 5.0 LB,FREEZERFRI,10071179367499,"",A,$29.51,UNIT,1.4755,PER LB,90007
234628,REGULAR CUT FRIES,"3/8"" XLF",6 / 5.0 LB,STEALTH,10044979019578,"",R,$42.88,UNIT,1.4293333333333333,PER LB,5945
234596,HASHBROWN POTATO,OVAL SHAPE,214 / 2.25 OZ,SIMPLOT,10071179430018,"",B,$45.49,UNIT,0.09447559709241952,PER OZ,90007
234622,LOOP FRIES,"1/3"" SAVORY",6 / 5.0 LB,SAVOR IMPO,10071179470144,"",A,$43.23,UNIT,1.4409999999999998,PER LB,90007
234579,LATTICE CUT FRIES,"",6 / 4.5 LB,SAVORY,10071179479024,"",B,$44.41,UNIT,1.6448148148148147,PER LB,90007
