ITEM,Custom1,Custom2
59142,ITALIAN CREAM TORTE ,CAKE 14 SLICE
59144,BLUEBERRIES & CREAM,CHEESECAKE
60109,YELLOW CORN MEAL,
61005,CORNSTARCH,
61006,CORNSTARCH,
61007,POTATO STARCH,HOLLAND
61010,POTATO STARCH,
61015,CORNSTARCH,
61020,POTATO STARCH,KATAKURIKO WHITE
61021,POTATO STARCH,
61505,AP FLOUR,
61526,MOCHIKO FLOUR,
61530,MOCHIKO FLOUR,
61537,HI-GLUTEN FLOUR,BLEACHED
61539,GLUTEN FREE FLOUR,
61545,SEMOLINA FLOUR,ENRICHED
61546,TAPIOCA STARCH FLOUR,
61547,ALL PURPOSE FLOUR,
61559,WHEAT BREAD FLOUR,UNBLEACHED
61566,BAKERS FLOUR,MELLO JUDITH
61568,BAKERS FLOUR,MINNESOTA GIRL
61572,CAKE PASTRY FLOUR,
61580,MASA HARINA DE MAIZ,
62500,TEMPRURA BATTER MIX,
62501,CHICKEN BREADING ,MIX
