,slot,ORIGINAL DESCRIP,DESCRIP LINE 1,Description line 2,CHARACTERS,,UNIT OF MEASURE,WEIGHT CORRECTION,CONVERSION,OMIT,DESCRIP 1,DESCRIP 2,,,,,,
228036,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
228037,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
228038,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
228039,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
228040,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
228041,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
228042,#N/A,#N/A,WHITE PEPPER,WHOLE,12,#N/A,OZ,,1.00,,,,,,,,,
228044,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
228045,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
228047,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
228048,#N/A,#N/A,MARJORAM LEAVES,,15,#N/A,OZ,,1.00,,,,,,,,,
228049,#N/A,#N/A,POPPY SEED,WHOLE,10,#N/A,OZ,,1.00,,,,,,,,,
228050,#N/A,#N/A,TARRAGON LEAVES,WHOLE,15,#N/A,OZ,,1.00,,,,,,,,,
228053,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
228054,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
228055,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
228056,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
228057,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
228058,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
228059,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
228060,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
228061,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
228062,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
228063,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
228064,#N/A,#N/A,DILL WEED,WHOLE,9,#N/A,OZ,,1.00,,,,,,,,,
228065,#N/A,#N/A,CINNAMON STICKS,,15,#N/A,OZ,,1.00,,,,,,,,,
228066,#N/A,#N/A,ROSEMARY,GROUND,8,#N/A,OZ,,1.00,,,,,,,,,
228069,#N/A,#N/A,PEPPERCORN MELANGE,,18,#N/A,OZ,,1.00,,,,,,,,,
228070,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
228071,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
228078,#N/A,#N/A,CARAWAY SEED,,12,#N/A,OZ,,1,,,,,,,,,
228079,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
228080,#N/A,#N/A,PARSLEY FLAKES,,14,#N/A,OZ,,1.00,,,,,,,,,
228081,#N/A,#N/A,PARSLEY FLAKES,SPICE,14,#N/A,OZ,,16,,,,,,,,,
228082,#N/A,#N/A,CELERY SEED,,11,#N/A,OZ,,16.00,,,,,,,,,
228085,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
228086,#N/A,#N/A,STAR ANISE,WHOLE,10,#N/A,LB,,1.00,Y,,,,,,,,
228087,#N/A,#N/A,CILANTRO,FREEZE DRIED,8,#N/A,OZ,,1.00,,,,,,,,,
228088,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
228089,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
228090,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
228091,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
228094,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
228095,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
229004,#N/A,#N/A,CARIBBEAN JERK SEASONING,,24,#N/A,OZ,,1.00,,,,,,,,,
229014,#N/A,#N/A,ANTIOXIDANT,,11,#N/A,OZ,,1.00,,,,,,,,,
229028,#N/A,#N/A,MONOSODIUM GLUTAMATE (MSG),,26,#N/A,OZ,,16.00,,,,,,,,,
229029,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
229036,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
229040,#N/A,#N/A,MESQUITE BBQ SEASONING,,22,#N/A,OZ,,1.00,,NO MSG,,,,,,,
229041,#N/A,#N/A,MONTREAL CHICKEN SEASONING,,26,#N/A,OZ,,1.00,,,,,,,,,
229042,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
229045,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
229083,#N/A,#N/A,GARLIC,ROASTED,6,#N/A,OZ,,1.00,,,,,,,,,
229088,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
229089,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
229090,#N/A,#N/A,GARLIC PEPPER,CALIFORNIA STYLE,13,#N/A,OZ,,1.00,,,,,,,,,
229091,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
229092,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
229093,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
229094,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
229095,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
229096,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
229110,#N/A,#N/A,SAFFRON ,PURE MANCHA TRHEADS,8,#N/A,OZ,,1.00,,,,,,,,,
229111,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
229112,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
229113,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
229114,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
229115,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
229116,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
229117,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
229119,#N/A,#N/A,MUSTARD SEED,,12,#N/A,OZ,,1.00,,,,,,,,,
229120,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
229121,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
229122,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
229123,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
229124,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
229125,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
229126,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
229127,#N/A,#N/A,CUMIN,GROUND,5,#N/A,LB,,1.00,Y,,,,,,,,
229128,#N/A,#N/A,CURRY POWDER,,12,#N/A,OZ,,16.00,,,,,,,,,
229129,#N/A,#N/A,VANILLA,IMITATION,7,#N/A,OZ,,32.00,,,,,,,,,
229130,#N/A,#N/A,FOOD COLOR,YELLOW EGG SHADE,10,#N/A,OZ,,32.00,,,,,,,,,
229131,#N/A,#N/A,FOOD COLOR,RED,10,#N/A,OZ,,1.00,,,,,,,,,
229132,#N/A,#N/A,GARLIC,GRANULATED,6,#N/A,OZ,,1.00,,,,,,,,,
229133,#N/A,#N/A,GARLIC POWDER,PREMIUM,13,#N/A,OZ,,1.00,,,,,,,,,
229134,#N/A,#N/A,,,0,#N/A,OZ,,1.00,,,,,,,,,
229135,#N/A,#N/A,PAPRIKA,EXTRA FANCY,7,#N/A,LB,,1.00,Y,,,,,,,,
229136,#N/A,#N/A,BLACK PEPPER,TABLE GRIND #20,12,#N/A,OZ,,16.00,,,,,,,,,
229137,#N/A,#N/A,RED PEPPER,CRUSHED,10,#N/A,OZ,,1.00,,,,,,,,,
229138,#N/A,#N/A,WHITE PEPPER,GROUND,12,#N/A,LB,,1.00,,,,,,,,,
229139,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
229140,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
229141,#N/A,#N/A,CAJUN SEASONING,,15,#N/A,OZ,,1.00,,,,,,,,,
229142,#N/A,#N/A,CANADIAN STEAK SEASONING,,24,#N/A,OZ,,1.00,,,,,,,,,
229143,#N/A,#N/A,THYME LEAVES,WHOLE,12,#N/A,OZ,,1.00,,,,,,,,,
229144,#N/A,#N/A,GARLIC,GRANULATED,6,#N/A,OZ,,16.00,,,,,,,,,
229145,#N/A,#N/A,CHILI POWDER,DARK,12,#N/A,LB,,1.00,Y,NO MSG,,,,,,,
229146,#N/A,#N/A,OREGANO LEAVES,"MEXICAN, WHOLE",14,#N/A,OZ,,1.00,,,,,,,,,
229147,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
229148,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
229149,#N/A,#N/A,BLACK PEPPER,TABLE GRIND,12,#N/A,LB,,1.00,,,,,,,,,
229150,#N/A,#N/A,BLACK PEPPER,CRACKED,12,#N/A,OZ,,1.00,,,,,,,,,
229151,#N/A,#N/A,CINNAMON,GROUND,8,#N/A,OZ,,1.00,,,,,,,,,
229152,#N/A,#N/A,OREGANO LEAVES,,14,#N/A,OZ,,1.00,,,,,,,,,
229153,#N/A,#N/A,PARSLEY FLAKES,,14,#N/A,OZ,,1.00,,,,,,,,,
229154,#N/A,#N/A,SESAME SEED,WHOLE,11,#N/A,LB,,1.00,Y,,,,,,,,
229155,#N/A,#N/A,BLACK PEPPER,WHOLE,12,#N/A,LB,,1.00,,,,,,,,,
229156,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
229157,#N/A,#N/A,NUTMEG,GROUND,6,#N/A,OZ,,16.00,,,,,,,,,
229158,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
229159,#N/A,#N/A,PAPRIKA,"SPANISH, FANCY",7,#N/A,LB,,1.00,,,,,,,,,
229160,#N/A,#N/A,CUMIN,GROUND,5,#N/A,LB,,1.00,,,,,,,,,
229161,#N/A,#N/A,SAGE,GROUND,4,#N/A,OZ,,1.00,,,,,,,,,
229162,#N/A,#N/A,POULTRY SEASONING,,17,#N/A,OZ,,1.00,,,,,,,,,
229163,#N/A,#N/A,CAYENNE PEPPER,GROUND,14,#N/A,OZ,,16.00,,,,,,,,,
229164,#N/A,#N/A,TARRAGON LEAVES,,15,#N/A,OZ,,1.00,,,,,,,,,
229165,#N/A,#N/A,ROSEMARY LEAVES,,15,#N/A,OZ,,1.00,,,,,,,,,
229166,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
229167,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
229168,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
229169,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
229170,#N/A,#N/A,GINGER,GROUND,6,#N/A,OZ,,16.00,,,,,,,,,
229171,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
229172,#N/A,#N/A,VANILLA EXTRACT,IMITATION,15,#N/A,OZ,,128.00,,,,,,,,,
229173,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
229174,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
229175,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
229176,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
229177,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
229178,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
229179,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
229180,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
229181,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
229182,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
229183,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
229184,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
229185,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
229186,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
229187,#N/A,#N/A,SAGE,GROUND,4,#N/A,OZ,,1.00,,,,,,,,,
229188,#N/A,#N/A,PAPRIKA,SPICE,7,#N/A,LB,,1.00,,,,,,,,,
229189,#N/A,#N/A,JAMAICAN JERK SEASONING,,23,#N/A,OZ,,1.00,,,,,,,,,
229200,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
230030,#N/A,#N/A,FORTUNE COOKIES,,15,#N/A,PC,,1.00,,,,,,,,,
230108,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
230109,#N/A,#N/A,GARBANZO DRIED BEANS,,20,#N/A,LB,,1.00,,,,,,,,,
230110,#N/A,#N/A,GREEN LENTIL BEANS,,18,#N/A,LB,,1.00,,,,,,,,,
230112,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
230113,#N/A,#N/A,PINTO BEANS,TRIPLE CLEANED,11,#N/A,LB,,1.00,,,,,,,,,
230114,#N/A,#N/A,SMALL WHITE BEANS,,17,#N/A,LB,,1.00,,,,,,,,,
230121,#N/A,#N/A,GREEN SPLIT PEAS,,16,#N/A,LB,,1.00,,,,,,,,,
230122,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
230125,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
230127,#N/A,#N/A,PEARL BARLEY,,12,#N/A,LB,,1,,,,,,,,,
230128,#N/A,#N/A,BARLEY,PRESSED,6,#N/A,LB,,1.00,,,,,,,,,
230129,#N/A,#N/A,BARLEY,ROASTED,6,#N/A,LB,,1.00,,,,,,,,,
230130,#N/A,#N/A,CORN,"ROASTED,DRIED",4,#N/A,LB,,1.00,,,,,,,,,
230131,#N/A,#N/A,BLACK BEAN,"GREEN, DRIED",10,#N/A,LB,,1.00,,,,,,,,,
230132,#N/A,#N/A,BLACK BEAN,"YELLOW, DRIED",10,#N/A,LB,,1.00,,,,,,,,,
230133,#N/A,#N/A,RED BEAN,DRIED,8,#N/A,LB,,1.00,,,,,,,,,
230134,#N/A,#N/A,RED BEAN,DRIED,8,#N/A,LB,,1.00,,,,,,,,,
230135,#N/A,#N/A,BARLEY,WHOLE,6,#N/A,LB,,1.00,,,,,,,,,
230136,#N/A,#N/A,MUNG BEAN,PEELED,9,#N/A,LB,,1.00,,,,,,,,,
230137,#N/A,#N/A,SOY BEAN,,8,#N/A,LB,,1.00,,,,,,,,,
230138,#N/A,#N/A,BLACK BEAN,GREEN,10,#N/A,LB,,1.00,,,,,,,,,
230139,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
230155,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
230156,#N/A,#N/A,PINTO BEANS,TRIPLE CLEANED,11,#N/A,LB,,1.00,,,,,,,,,
230161,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
230168,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
230169,#N/A,#N/A,BLACK BEANS,PREWASHED,11,#N/A,LB,,1.00,,,,,,,,,
230170,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
230171,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
230187,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
230190,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
230191,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
231001,#N/A,#N/A,CHOW FUN NOODLES,,16,#N/A,OZ,,16.00,,,,,,,,,
231002,#N/A,#N/A,SOMEN NOODLES,,13,#N/A,LB,,1.00,,,,,,,,,
231004,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
231005,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
231006,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
231007,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
231008,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
231009,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
231010,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
231011,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
231012,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
231013,#N/A,#N/A,SAIMIN NOODLES,,14,#N/A,OZ,,1.00,,,,,,,,,
231014,#N/A,#N/A,UDON NOODLES,,12,#N/A,OZ,,1.00,,,,,,,,,
231015,#N/A,#N/A,SOMEN NOODLES,,13,#N/A,OZ,,1.00,,,,,,,,,
231016,#N/A,#N/A,RAMEN NOODLES,,13,#N/A,OZ,,1.00,,,,,,,,,
231017,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
231021,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
231022,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
231033,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
231034,#N/A,#N/A,BEAN THREAD NOODLES,,19,#N/A,OZ,,1.00,,,,,,,,,
231035,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
231036,#N/A,#N/A,VERMICELLI NOODLES,,18,#N/A,OZ,,1.00,,,,,,,,,
231037,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
231038,#N/A,#N/A,JASMINE RICE,,12,#N/A,LB,,1.00,,,,,,,,,
231039,#N/A,#N/A,BEAN THREAD NOODLES,,19,#N/A,OZ,,1.00,,,,,,,,,
231040,#N/A,#N/A,WAKANA SOBA NOODLES,,19,#N/A,OZ,,1.00,,,,,,,,,
231042,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
231043,#N/A,#N/A,YAKISOBA NOODLES,,16,#N/A,LB,,1.00,,,,,,,,,
231044,#N/A,#N/A,CHOWMEIN NOODLES,,16,#N/A,LB,,1.00,,,,,,,,,
231045,#N/A,#N/A,BIHON NOODLES,RICE STICKS,13,#N/A,OZ,,16.00,,,,,,,,,
231046,#N/A,#N/A,EA ONLY,,7,#N/A,OZ,,1.00,,,,,,,,,
231047,#N/A,#N/A,BIHON GOLDEN,NOODLES,12,#N/A,OZ,,16.00,,,,,,,,,
231048,#N/A,#N/A,YAMAIMO SOBA NDLS,BUCKWHEAT W/YAM,17,#N/A,OZ,,16.00,,,,,,,,,
231049,#N/A,#N/A,,,0,#N/A,OZ,,1.00,,,,,,,,,
231050,#N/A,#N/A,HARIMA NO TAKUMI,SOMEN NOODLES,16,#N/A,GR,,1.00,,,,,,,,,
231051,#N/A,#N/A,MALONY HARUSAME NOODLE,,22,#N/A,OZ,,16.00,,,,,,,,,
231052,#N/A,#N/A,VERMICELLI RICE,,15,#N/A,OZ,,16.00,,,,,,,,,
231053,#N/A,#N/A,SOBA NOODLES,BUCKWHEAT,12,#N/A,OZ,,16.00,,,,,,,,,
,#N/A,#N/A,,,0,#N/A,,,,,,,,,,,,
231055,#N/A,#N/A,SOMEN NOODLES,,13,#N/A,OZ,,16.00,,,,,,,,,
231056,#N/A,#N/A,POTATO NOODLES,,14,#N/A,GR,,1.00,,,,,,,,,
231057,#N/A,#N/A,LONG GRAIN RICE,,15,#N/A,OZ,,16.00,,,,,,,,,
231058,#N/A,#N/A,GOLDEN BIHON NOODLES,,20,#N/A,OZ,,1.00,,,,,,,,,
231502,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
231503,#N/A,#N/A,RICE PAPER WRAPPER,"8.5"" 22 CM ROUND",18,#N/A,OZ,,1,,,,,,,,,
231504,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
231505,#N/A,#N/A,RICE PAPER WRAPPER,,18,#N/A,OZ,,1.00,,,,,,,,,
232522,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
232525,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
232530,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
232531,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
232532,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
232533,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
232534,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
232535,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
232536,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
232538,#N/A,#N/A,RAINBOW ROTINI PASTA,,20,#N/A,LB,,1.00,,,,,,,,,
232539,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
232540,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
232541,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
232542,#N/A,#N/A,SMALL ELBOW,MACARONI PASTA,11,#N/A,LB,,1,,,,,,,,,
232543,#N/A,#N/A,BOWTIE PASTA,,12,#N/A,LB,,1.00,,,,,,,,,
232544,#N/A,#N/A,ROTELLI PASTA,,13,#N/A,LB,,1.00,,,,,,,,,
232545,#N/A,#N/A,LINGUINE PASTA,"20""",14,#N/A,LB,,1.00,,,,,,,,,
232546,#N/A,#N/A,EGG NOODLE PASTA,"WIDE 1/4""",16,#N/A,LB,,1.00,,,,,,,,,
232549,#N/A,#N/A,RAINBOW ROTELLI PASTA,,21,#N/A,LB,,1.00,,,,,,,,,
232550,#N/A,#N/A,RIGATONI PASTA,,14,#N/A,LB,,1.00,,,,,,,,,
232551,#N/A,#N/A,MOSTACCIOLI ,PENE PASTA,12,#N/A,LB,,1.00,,,,,,,,,
232552,#N/A,#N/A,ANGEL HAIR PASTA,,16,#N/A,LB,,1.00,,,,,,,,,
232553,#N/A,#N/A,SPINACH FETTUCCINE PASTA,,24,#N/A,LB,,1.00,,,,,,,,,
232555,#N/A,#N/A,FETTUCCINE PASTA,"20""",16,#N/A,LB,,1.00,,,,,,,,,
232556,#N/A,#N/A,LASAGNA PASTA,"20""L X 2.5""W",13,#N/A,LB,,1.00,,,,,,,,,
232557,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
232558,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
232559,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
232561,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
232562,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
232563,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
232564,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
232565,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
232566,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
232567,#N/A,#N/A,MOSTACCIOLI PENNE,PASTA,17,#N/A,LB,,1,,,,,,,,,
232570,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
232571,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
232572,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
232585,#N/A,#N/A,GNOCCHI PASTA,,13,#N/A,GR,,1.00,,,,,,,,,
232586,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
232587,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
232600,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
232610,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
232623,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
232624,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
232626,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
232627,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
232690,#N/A,#N/A,SPAGHETTI PASTA,"10""",15,#N/A,LB,,1.00,,,,,,,,,
232691,#N/A,#N/A,ELBOW MACARONI PASTA,,20,#N/A,LB,,1.00,,,,,,,,,
232692,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
232693,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
232695,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
232698,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
232700,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
232701,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
232702,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
232703,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
232704,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
232705,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
232711,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
232722,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
232724,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
232725,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
232726,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
232727,#N/A,#N/A,RIGATONI PASTA,,14,#N/A,LB,,1,,,,,,,,,
232738,#N/A,#N/A,SPAGHETTI PASTA,,15,#N/A,LB,,1,,,,,,,,,
232740,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
232741,#N/A,#N/A,ORZO PASTA,,10,#N/A,LB,,1.00,,,,,,,,,
232742,#N/A,#N/A,FETTUCCINE PASTA,,16,#N/A,LB,,1.00,,,,,,,,,
232743,#N/A,#N/A,LINGUINE PASTA,,14,#N/A,LB,,1.00,,,,,,,,,
232744,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
232745,#N/A,#N/A,FETTUCCINE PASTA,,16,#N/A,LB,,1,,,,,,,,,
232746,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
232747,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
232748,#N/A,#N/A,PENNE RIGATE PASTA,,18,#N/A,LB,,1.00,,,,,,,,,
232750,#N/A,#N/A,FETTUCCINE PASTA,,16,#N/A,LB,,1,,,,,,,,,
232751,#N/A,#N/A,LINGUINE PASTA,"10""",14,#N/A,LB,,1.00,,,,,,,,,
232752,#N/A,#N/A,SPAGHETTI PASTA,#11,15,#N/A,LB,,1.00,,,,,,,,,
232753,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
232754,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
232756,#N/A,#N/A,SPAGHETTINI PASTA,,17,#N/A,LB,,1.00,,,,,,,,,
232757,#N/A,#N/A,PENNE RIGATE PASTA,,18,#N/A,LB,,1.00,,,,,,,,,
232760,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
232761,#N/A,#N/A,PENNE RIGATE PASTA,,18,#N/A,LB,,1,,,,,,,,,
232762,#N/A,#N/A,LINGUINE PASTA,FINE,14,#N/A,LB,,1,,,,,,,,,
232763,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
232764,#N/A,#N/A,SPAGHETTI PASTA,THICK,15,#N/A,LB,,1,,,,,,,,,
232765,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
232766,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
