,slot,ORIGINAL DESCRIP,DESCRIP LINE 1,Description line 2,CHARACTERS,,UNIT OF MEASURE,WEIGHT CORRECTION,CONVERSION,OMIT,DESCRIP 1,DESCRIP 2,,,,,,
22102,#N/A,#N/A,PASSION ORANGE DRINK,,20,#N/A,OZ,,1.00,,,,,,,,,
22105,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
22108,#N/A,#N/A,APPLE JUICE,,11,#N/A,OZ,,1.00,,,,,,,,,
22111,#N/A,#N/A,PASS O GUAVA JUICE,,18,#N/A,OZ,,1.00,,,,,,,,,
22112,#N/A,#N/A,PINEAPPLE ORANGE,,16,#N/A,OZ,,1.00,,,,,,,,,
22113,#N/A,#N/A,STRAWBERRY GUAVA NECTAR JUICE,,29,#N/A,OZ,,1.00,,,,,,,,,
22114,#N/A,#N/A,LYCHEE GREEN TEA W/ GINSENG,,27,#N/A,OZ,,1.00,,,,,,,,,
22120,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
22121,#N/A,#N/A,GUAVA NECTAR JUICE,,18,#N/A,OZ,,1.00,,,,,,,,,
22123,#N/A,#N/A,ORANGE PASSION JUICE,,20,#N/A,OZ,,1.00,,,,,,,,,
22124,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
22125,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
22126,#N/A,#N/A,LILIKOI PASSION FRUIT JUICE,,27,#N/A,OZ,,1.00,,,,,,,,,
22127,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
22128,#N/A,#N/A,HAWAIIAN ICED TEA DRINK,,23,#N/A,OZ,,1.00,,,,,,,,,
22130,#N/A,#N/A,PINEAPPLE JUICE,100% JUICE,15,#N/A,OZ,,1.00,,,,,,,,,
22131,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
22140,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
22141,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
22142,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
22150,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
22151,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
22152,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
22153,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
22154,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
22155,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
22156,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
22157,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
22162,#N/A,#N/A,CRANBERRY JUICE,,15,#N/A,OZ,,1.00,,,,,,,,,
22163,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
22164,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
